,util_linhas_inseguras,idade,vezes_passou_de_30_59_dias,razao_debito,salario_mensal,numero_linhas_crdto_aberto,numero_vezes_passou_90_dias,numero_emprestimos_imobiliarios,numero_de_vezes_que_passou_60_89_dias,numero_de_dependentes,inadimplente
113,0.0142,74,0,0.2135,6333,12,0,1,0,0,0
114,0.0216,52,0,0.395,4500,11,0,1,0,2,0
115,0.1827,39,0,0.1299,2608,5,0,0,0,2,0
116,0.0932,50,0,0.5795,7000,12,0,4,0,0,0
117,0.1805,46,0,0.0846,10000,2,0,0,0,0,0
118,0.1673,54,0,0.5959,3800,5,0,1,0,1,0
119,0.9758,39,0,0.271,1,9,0,1,0,0,0
120,0.3595,37,0,0.4495,6833,5,0,2,0,2,0
121,0.0,64,0,0.0364,30452,2,0,0,0,0,0
122,0.5684,49,0,0.2958,4320,9,0,1,0,1,0
123,0.0985,40,0,0.2581,5000,9,0,1,0,3,0
124,0.5957,69,0,0.1897,6477,11,0,1,0,1,0
125,0.2882,54,0,0.3204,4930,8,0,1,0,0,0
126,0.024,44,0,0.3698,3666,9,0,2,0,0,0
127,0.0265,39,0,0.1912,8452,13,0,3,0,1,0
128,0.2065,45,0,0.4637,10500,12,0,2,0,1,0
129,0.0448,59,0,0.2232,15000,16,0,1,0,0,0
130,0.2355,45,1,0.0751,2383,3,1,0,1,0,1
131,0.0183,49,0,0.2865,8400,6,0,2,0,2,0
132,0.0876,45,0,0.3741,4300,8,0,1,0,2,0
133,0.0208,44,0,0.8971,1000,5,0,1,0,0,0
134,0.1002,42,1,0.2994,2000,5,0,1,2,0,0
135,0.0125,68,0,0.0013,10000,8,0,0,0,1,0
136,0.0055,62,0,0.9527,1500,10,0,2,0,2,0
137,0.6136,32,2,0.0572,10630,9,0,0,0,0,0
138,0.1337,25,0,0.0094,4166,2,0,0,0,0,0
139,0.40700000000000003,39,1,0.4823,8500,11,0,2,0,1,0
140,0.2324,33,1,0.2753,2716,7,0,0,0,0,0
141,0.0033,76,0,0.1031,2666,7,0,0,0,0,0
142,0.2316,57,0,0.0487,9166,3,0,0,0,0,0
143,0.057,62,0,0.1161,17750,18,0,1,0,3,0
144,0.5895,59,0,0.3038,10300,7,0,1,0,0,0
145,1.0,39,0,0.071,5916,4,0,0,0,2,0
146,0.9745,44,0,0.1294,1,6,0,0,0,2,0
147,0.9609,56,1,0.2488,2720,10,1,0,0,1,0
148,0.0609,40,0,0.0106,1600,4,0,0,0,0,0
149,0.5438,59,0,0.6695,7000,16,0,1,0,2,0
150,0.4574,50,0,0.4569,5596,7,0,1,0,0,0
151,0.4359,60,0,0.5512,8136,11,0,2,0,1,0
152,0.8592,51,2,0.1428,24020,13,1,2,4,1,1
153,0.1738,51,1,0.0382,10728,11,0,0,0,2,0
154,0.2468,72,0,0.1472,4083,3,0,1,0,2,0
155,0.0588,27,0,0.0658,4100,6,1,1,0,1,0
156,0.8909999999999999,46,0,0.4356,3700,6,0,0,0,3,0
157,0.5477,42,0,0.2119,18000,9,0,2,0,3,0
158,0.0673,66,1,0.1531,8000,25,0,0,1,0,0
159,0.0747,73,0,0.0306,26500,11,0,1,0,0,0
160,0.0734,49,0,0.3387,4200,15,1,2,0,0,0
161,0.0178,82,0,0.6771,2607,11,0,1,0,0,0
162,1.0,46,1,0.0,2000,1,0,0,0,0,0
163,0.3342,37,0,0.7421,6777,14,0,2,0,1,0
164,0.0418,78,0,0.042,4166,7,0,1,0,0,0
165,0.0262,63,0,0.1808,4153,6,0,0,0,0,0
166,0.9022,33,0,0.5474,3333,5,0,1,0,0,0
167,0.5911,39,1,0.4603,4983,6,0,1,0,3,0
168,0.0531,47,0,0.3814,9000,5,0,1,0,4,0
169,0.0996,82,0,0.0181,9049,6,0,0,0,0,0
170,0.0199,37,2,0.4529,5417,15,0,2,0,2,0
171,0.0,43,0,0.2622,8333,9,0,2,0,2,0
172,0.0296,53,1,0.1058,5822,13,0,0,0,1,0
173,0.2152,41,0,0.1655,8350,11,0,1,0,0,0
174,0.4112,42,0,0.5501,7000,10,0,2,0,2,0
175,0.0762,53,0,0.1308,6300,6,0,1,0,2,0
176,0.2981,40,0,0.2322,3600,7,0,0,0,2,0
177,0.2066,47,0,0.3107,5200,6,0,1,0,2,0
178,0.2458,44,1,0.1239,8500,4,0,0,0,4,0
179,1.0,35,0,0.1055,10000,4,1,1,0,3,0
180,0.0036,72,0,0.0106,6106,10,0,0,0,0,0
181,0.0767,60,0,0.0958,9463,4,0,1,0,2,0
182,0.0,77,0,0.0,3523,3,0,0,0,0,0
183,0.5472,34,0,0.1754,4810,8,1,0,0,1,0
184,0.0239,64,0,0.3211,4272,10,0,1,0,0,0
185,0.1014,71,0,0.0641,5116,7,0,0,0,0,0
186,0.0215,56,0,0.0091,7000,10,0,0,0,3,0
187,0.0561,66,0,0.4268,887,6,0,0,0,0,0
188,0.0169,76,0,0.3818,4692,19,0,1,0,1,0
189,0.5612,29,0,0.1421,3975,5,0,0,0,0,0
190,0.37200000000000005,48,0,0.5881,6000,11,0,1,0,2,0
191,0.3078,34,0,0.1188,1800,8,0,0,0,0,0
192,0.966,40,0,0.578,3750,9,0,0,0,0,0
193,0.063,68,0,0.2742,3500,5,0,0,0,0,0
194,0.0,51,2,0.0,12500,4,0,0,0,0,0
195,1.0,23,0,0.209,1200,1,0,0,0,0,0
196,0.0661,54,0,0.1308,17433,4,0,2,0,1,0
197,0.7669,45,0,0.0588,17000,6,0,0,0,3,0
198,0.0992,68,0,0.2594,10772,6,0,1,0,2,0
199,0.1817,56,0,0.1607,12500,20,0,1,0,0,0
200,0.0862,47,0,0.3799,6500,15,0,3,0,2,0
201,0.0144,38,0,0.2981,12500,6,0,2,0,3,0
202,0.3047,57,4,0.3657,8183,9,0,1,0,1,0
203,0.1234,63,0,0.0724,7427,8,0,0,0,1,0
204,0.5715,77,1,0.9735,1772,11,0,0,0,0,0
205,0.1155,37,0,0.2807,4916,5,0,1,0,2,0
206,0.6683,46,0,0.4931,5000,5,0,1,0,0,0
207,0.7942,53,0,0.434,2400,5,2,1,0,0,0
208,0.5639,50,0,0.1155,15000,9,0,1,0,1,0
209,0.2913,38,0,0.2847,10666,7,0,1,0,2,0
210,0.2345,52,0,0.4715,5000,14,0,0,0,0,0
211,0.0825,54,0,0.8869,2474,10,0,2,0,0,0
212,0.6848,77,3,0.4798,10303,16,3,2,0,1,0
213,0.0175,44,1,0.2869,9583,8,0,1,0,0,0
214,0.0,54,0,0.2614,4884,12,1,1,1,1,1
215,0.2833,57,0,0.495,9166,21,0,2,0,0,0
216,0.3849,37,0,0.6388,8584,15,0,2,0,0,0
217,0.1748,41,1,0.1945,4828,7,0,0,0,2,0
218,0.0,51,0,0.703,10000,20,0,3,0,3,0
219,0.9912,60,0,0.7893,6284,7,0,2,0,3,0
220,0.10099999999999999,78,2,0.4638,12855,10,0,1,1,0,0
221,0.0792,47,0,0.4118,5533,11,0,2,0,1,0
222,0.0247,51,0,0.0072,2500,3,0,0,0,0,0
223,0.0798,59,0,0.2462,12451,14,0,2,0,0,0
224,0.0592,56,0,0.0142,3454,4,0,0,0,0,0
225,0.0998,38,0,0.2273,7666,9,0,1,0,0,0
226,0.0828,48,0,0.2759,10500,8,0,2,0,0,0
227,1.0,23,0,0.0,800,0,0,0,0,0,0
228,0.7674,35,0,0.1134,3500,2,0,0,0,2,0
229,0.0428,66,0,0.6333,5300,14,0,2,0,0,0
230,0.0534,41,0,0.4522,12500,7,0,2,0,2,0
231,0.06,70,0,0.4411,3139,6,0,1,0,0,0
232,0.0,66,0,0.7222,3710,5,0,3,0,1,0
233,0.0,46,0,0.139,6000,6,0,1,0,2,0
234,0.7685,50,0,0.5116,5525,6,0,1,0,3,0
235,0.3974,35,1,0.9781,3333,17,0,1,0,2,0
236,0.0095,59,1,0.2759,6150,4,0,1,0,1,0
237,0.0731,27,0,0.1739,1500,7,0,0,0,0,0
238,0.1857,41,0,0.2512,8000,11,0,2,0,1,0
239,0.0691,61,0,0.2098,12814,7,0,1,0,1,0
240,0.722,45,0,0.1799,2145,12,0,3,0,2,0
241,0.0327,88,0,0.1373,0,2,0,1,0,0,0
242,0.1092,38,4,0.8824,8000,14,1,2,0,1,0
243,0.0475,67,0,0.3084,3855,12,0,1,0,0,0
244,0.4574,28,0,0.0707,1442,2,0,0,0,0,0
245,0.0377,77,0,0.0095,4000,3,0,0,0,0,0
246,0.7992,65,0,0.2865,10400,5,0,1,0,2,0
247,0.35100000000000003,35,0,0.1594,3200,7,0,1,0,0,0
248,0.7887,24,0,0.3313,2000,6,0,0,0,0,0
249,0.1841,53,0,0.6059,4440,10,0,3,0,1,0
250,1.0,60,0,0.1985,10416,4,2,1,0,2,0
251,0.0251,56,1,0.618,10000,14,0,5,0,0,0
252,0.2443,64,0,0.1225,981,13,0,1,0,0,0
253,0.1108,21,0,0.0082,4000,2,0,0,0,0,0
254,0.8522,64,0,0.5444,5352,8,0,1,0,0,0
255,1.0,53,0,0.4389,4200,8,0,1,0,0,0
256,0.0746,41,0,0.2527,11600,6,0,1,0,1,0
257,1.0,59,0,0.4102,2539,4,0,0,0,0,0
258,0.1794,88,0,0.3077,1316,13,0,0,0,0,0
259,0.0332,51,1,0.3579,6500,10,0,1,0,3,0
260,0.0343,35,0,0.2893,6473,10,0,2,0,0,0
261,0.0252,76,0,0.013999999999999999,2500,4,0,0,0,0,0
262,0.0,43,0,0.5197,5185,8,0,1,0,0,0
263,0.0223,65,0,0.3689,5000,13,0,1,0,0,0
264,0.9879,61,2,0.1495,4500,4,0,0,0,0,0
265,0.0129,72,0,0.0024,2500,1,0,0,0,0,0
266,0.0611,83,0,0.0568,1972,9,0,0,0,0,0
267,0.013000000000000001,63,0,0.2915,13740,7,0,2,0,1,0
268,0.0212,61,0,0.4126,10500,11,0,2,0,0,0
269,0.10400000000000001,27,2,0.435,1160,4,0,0,0,0,0
270,1.0,24,0,0.613,800,1,0,0,0,0,0
271,1.0,38,1,0.1863,3000,0,2,0,0,2,0
272,0.0,46,1,0.2695,3001,2,0,1,0,0,0
273,0.5696,39,3,0.3224,7700,8,0,1,0,5,0
274,0.5178,62,1,0.4816,9166,11,0,2,0,0,0
275,0.0,38,0,0.0911,44574,7,0,1,0,3,0
276,0.0072,44,0,0.2202,9283,6,0,1,0,1,0
277,0.0,76,0,0.6206,600,5,0,0,0,0,0
278,0.9312,64,0,0.3481,3139,5,0,1,0,0,0
279,0.0049,27,0,0.4146,2500,8,0,1,0,0,0
280,0.6552,48,0,0.5887,10833,16,0,2,0,3,0
281,1.0,31,1,0.6784,4150,3,2,3,3,1,1
282,0.0126,47,0,0.2833,5502,7,0,1,0,0,0
283,0.7182,66,1,0.4823,7500,4,0,1,0,0,0
284,0.0137,74,0,0.0826,10119,14,0,1,0,0,0
285,0.0022,69,1,0.3452,1630,12,0,1,0,0,0
286,0.27699999999999997,44,0,0.6122,4166,9,0,1,0,0,0
287,0.6886,62,2,0.0896,23000,13,0,0,0,0,0
288,0.1,48,0,0.1213,6110,9,0,0,0,2,0
289,0.0162,50,0,0.0238,125,4,0,0,0,1,0
290,0.2921,75,0,0.5197,4240,10,0,1,0,0,0
291,0.0247,49,0,0.017,1702,3,0,0,0,0,0
292,0.4362,45,0,0.2968,1,15,0,1,0,2,0
293,0.4512,58,0,0.7261,5000,8,0,3,0,0,0
294,0.313,44,0,0.9279,3800,18,0,2,0,0,0
295,0.1569,52,4,0.3463,8000,9,0,4,0,2,0
296,0.3003,50,0,0.6412,2800,5,0,1,0,0,0
297,0.3479,34,0,0.027000000000000003,6250,6,0,0,0,2,0
298,0.0005,38,0,0.1733,3583,10,0,0,0,0,0
299,0.0141,55,0,0.82,4100,13,0,1,0,3,0
300,0.3234,57,0,0.2707,25473,18,0,2,0,1,0
301,0.0009,48,1,0.1422,2924,4,0,1,0,0,0
302,0.3865,70,0,0.6267,4237,6,0,1,0,0,0
303,0.0911,33,0,0.5121,11372,12,0,6,0,0,0
304,0.0619,47,0,0.4758,9000,14,0,2,0,0,0
305,0.1329,60,0,0.1233,4166,17,0,1,0,3,0
306,1.0,27,0,0.4707,1280,3,2,0,1,0,1
307,0.0205,48,0,0.1762,9023,5,0,1,0,2,0
308,0.0,39,0,0.4349,6400,5,0,1,0,2,0
309,0.0238,62,0,0.0404,5500,10,0,1,0,1,0
310,0.7488,48,0,0.1925,5500,2,0,0,0,0,0
311,0.1071,23,0,0.0585,820,2,0,0,0,0,0
312,0.0143,59,0,0.1663,6000,10,0,1,0,0,0
313,0.1285,44,0,0.3967,2666,5,0,0,0,0,0
314,0.0195,62,0,0.2582,4000,15,0,2,0,0,0
315,0.0,67,0,0.0,5000,8,0,0,0,0,0
316,0.009000000000000001,65,0,0.2969,3000,10,0,0,0,0,0
317,1.0,50,0,0.0003,3300,1,0,0,0,0,0
318,0.1749,69,0,0.2499,6266,18,0,2,0,0,0
319,0.0856,45,0,0.2165,11900,4,0,1,0,0,0
320,0.6679,59,1,0.4141,45000,17,0,4,0,3,0
321,0.5466,67,3,0.9103,4000,16,0,2,0,0,0
322,1.0,41,0,0.0309,3916,0,1,0,0,3,0
323,0.0614,55,0,0.1992,10428,7,0,1,0,0,0
324,0.2579,52,0,0.4858,8916,5,0,2,0,2,0
325,0.2159,53,0,0.4218,7500,11,0,1,0,2,0
326,0.1188,59,0,0.1383,4200,24,0,5,0,0,0
327,0.5836,55,0,0.4143,3139,3,0,1,0,0,0
328,0.8913,43,0,0.3296,8500,8,0,1,0,1,0
329,0.1323,27,0,0.0636,7400,16,0,0,0,0,0
330,0.1264,67,0,0.2861,11300,8,0,3,0,1,0
331,0.8435,64,0,0.5773,7075,15,0,1,0,1,0
332,0.0353,63,0,0.5336,3500,10,0,1,0,1,0
333,0.1798,60,0,0.1074,2000,3,0,0,0,0,0
334,0.1036,48,0,0.3377,5800,8,0,1,0,3,0
335,0.1002,60,2,0.2851,7800,9,0,0,1,1,0
336,0.1682,58,1,0.4067,8700,13,0,1,0,0,0
337,0.4442,52,0,0.2872,10300,7,0,2,0,0,0
338,1.0,53,0,0.1422,7116,3,0,0,0,0,0
339,0.0789,60,2,0.7667,4500,19,0,2,0,0,0
340,0.0137,82,0,0.1686,6400,6,0,2,0,1,0
341,0.1914,29,0,0.45399999999999996,3750,8,0,1,0,0,0
342,0.4167,31,0,0.41,9165,7,0,1,0,2,0
343,0.066,47,0,0.3761,8916,10,0,2,0,2,0
344,0.0259,49,0,0.3373,7800,9,0,2,0,5,0
345,0.0015,52,0,0.1509,13587,10,0,1,0,3,0
346,0.6691,53,0,0.8815,1400,7,0,0,0,0,0
347,0.4154,52,6,0.3948,8902,18,1,3,0,2,0
348,0.0036,47,0,0.1793,6224,7,0,1,0,1,0
349,0.5455,41,0,0.3283,8328,6,0,1,0,2,0
350,0.2878,55,0,0.1838,5000,8,0,0,0,2,0
351,0.9051,40,0,0.4154,2700,8,0,0,0,0,0
352,1.0,52,1,0.1086,2540,1,2,0,0,3,0
353,1.0,34,0,0.0,4200,2,0,0,0,0,0
354,0.4639,50,0,0.0665,8000,4,0,0,0,2,0
355,0.2615,31,0,0.6263,5800,14,0,1,0,0,0
356,0.0,68,0,0.2614,12000,7,0,1,0,0,0
357,0.0262,44,0,0.2799,10332,15,0,1,0,0,0
358,0.6776,70,2,0.9607,2083,13,0,1,1,0,0
359,0.0049,54,1,0.2906,851,21,0,3,0,0,0
360,0.0,53,1,0.7352,2337,20,0,1,0,0,0
361,0.0,54,0,0.1865,15000,20,0,1,0,0,0
362,0.0198,80,0,0.0065,4000,7,0,0,0,0,0
363,0.3229,54,0,0.5117,4500,10,0,2,0,0,0
364,0.2069,38,1,0.4179,3433,5,0,1,1,2,0
365,0.5568,43,1,0.0748,5000,6,0,0,0,3,0
366,0.1234,39,1,0.8712,3500,12,0,2,0,2,0
367,0.0755,52,0,0.5269,6600,9,0,2,0,0,0
368,1.0,46,1,0.0066,3340,2,0,0,0,2,0
369,0.5186,43,0,0.2112,5000,4,0,1,0,2,0
370,0.4867,43,0,0.2529,9533,15,0,1,0,0,0
371,0.4743,23,0,0.0113,2557,3,0,0,0,0,0
372,0.6988,39,2,0.0365,10054,3,0,0,0,3,0
373,0.1336,53,0,0.2083,13000,19,0,1,0,3,0
374,0.5921,73,0,0.4964,6292,6,0,1,0,0,0
375,0.0797,49,0,0.3094,5600,4,0,1,0,2,0
376,0.0589,56,0,0.6393,6700,31,0,2,0,1,0
377,0.5922,64,0,0.2616,9750,6,0,1,0,2,0
378,0.8842,31,0,0.2885,8333,6,0,0,0,0,0
379,1.0,34,0,0.3261,6334,4,0,1,0,0,0
380,0.8288,66,0,0.1009,8600,21,0,2,0,1,0
381,0.0041,48,0,0.3122,3500,5,0,1,0,0,0
382,1.0,34,0,0.1243,3000,2,0,0,0,0,0
383,1.0,28,0,0.159,1785,1,0,0,0,0,0
384,0.581,58,0,0.419,23250,21,0,4,0,0,0
385,0.0739,44,0,0.1502,11666,5,0,2,0,1,0
386,0.1613,37,0,0.3593,6506,6,0,1,0,0,0
387,0.0589,45,0,0.8284,5000,15,0,1,0,2,0
388,0.0559,78,0,0.0226,3500,5,0,0,0,0,0
389,0.0246,64,0,0.3363,6000,8,0,0,0,0,0
390,0.0947,63,0,0.0858,11323,3,0,1,0,2,0
391,0.0009,45,0,0.3654,3516,10,0,1,0,0,0
392,0.1802,40,0,0.3321,16250,12,0,3,0,3,0
393,0.0,57,0,0.4996,6000,9,0,2,0,3,0
394,0.0794,32,0,0.6109,950,8,0,1,0,0,0
395,0.8893,43,0,0.3985,6583,9,0,1,0,2,0
396,0.2688,43,0,0.3279,5400,7,0,1,0,0,0
397,0.3729,61,0,0.5308,3750,7,0,1,0,0,0
398,0.037000000000000005,46,0,0.3228,13333,7,0,1,0,0,0
399,0.0073,46,0,0.2077,9300,11,0,1,0,3,0
400,0.0,39,0,0.4244,6083,7,0,2,0,0,0
401,0.1808,61,0,0.0895,2301,3,0,0,0,0,0
402,0.0727,58,0,0.5147,6750,6,0,3,0,2,0
403,0.2219,31,0,0.1019,5350,2,0,0,0,0,0
404,0.1845,68,1,0.4817,6459,9,0,1,0,0,0
405,0.4079,45,0,0.0662,11833,3,0,0,0,2,0
406,0.0421,76,0,0.0051,10487,8,0,0,0,0,0
407,0.0193,35,0,0.3505,6666,9,0,1,0,2,0
408,0.5351,54,1,0.2132,7583,6,0,1,0,1,0
409,0.3959,34,0,0.4075,2600,6,0,0,0,1,0
410,0.0456,70,0,0.0011,25000,4,0,0,0,0,0
411,0.0777,68,0,0.0334,23200,4,0,1,0,1,0
412,0.0,47,0,0.185,7914,5,0,1,0,0,0
413,0.6654,67,0,0.2215,7700,10,0,1,0,0,0
414,0.5489999999999999,33,0,0.2585,10784,9,0,0,0,0,0
415,0.0,27,0,0.0894,3400,3,0,0,0,0,0
416,1.0,32,3,0.311,5800,8,0,1,3,2,0
417,0.445,68,0,0.4259,4200,10,0,0,0,0,0
418,0.0691,61,1,0.1655,6900,6,0,0,0,0,0
419,0.2359,48,0,0.1063,11000,3,0,0,0,1,0
420,0.386,64,0,0.4451,3250,5,0,1,0,0,0
421,0.027000000000000003,50,0,0.1135,8654,2,0,1,0,0,0
422,0.5544,55,0,0.2924,1750,6,0,0,0,0,0
423,0.3426,59,0,0.7095,4050,18,0,1,0,1,0
424,0.4119,53,0,0.3597,7005,8,0,1,0,0,0
425,1.0,44,2,0.5459,1959,4,2,2,1,2,1
426,0.0246,35,0,0.2554,5605,5,0,1,0,0,0
427,0.0109,76,0,0.4288,8333,10,0,2,0,1,0
428,0.1142,46,0,0.2357,8200,4,0,2,0,0,0
429,0.2622,52,1,0.2441,10976,6,0,1,0,3,0
430,0.0,39,0,0.2677,4333,11,0,0,0,1,0
431,0.0314,76,0,0.2753,8400,6,0,2,0,0,0
432,0.0227,73,1,0.0126,3653,8,0,0,0,0,0
433,1.0,37,0,0.3348,2000,3,3,0,1,2,1
434,0.1003,33,0,0.1179,2300,17,0,2,0,1,0
435,0.0057,44,0,0.0323,15016,6,0,0,0,1,0
436,0.0505,47,0,0.1814,7917,18,0,1,0,2,0
437,0.0232,41,1,0.2749,2200,8,0,0,0,1,0
438,0.10099999999999999,61,0,0.1443,5427,7,0,0,0,0,0
439,0.2121,67,1,0.5148,1386,15,0,0,0,0,0
440,0.0433,43,0,0.3364,7933,9,0,1,0,0,0
441,0.0,28,1,0.2019,1995,4,0,0,0,1,0
442,0.0389,46,0,0.6319,10000,14,0,2,0,2,0
443,0.0001,69,0,0.3799,3400,13,0,1,0,0,0
