"util_linhas_inseguras","idade","vezes_passou_de_30_59_dias","razao_debito","salario_mensal","numero_linhas_crdto_aberto","numero_vezes_passou_90_dias","numero_emprestimos_imobiliarios","numero_de_vezes_que_passou_60_89_dias","numero_de_dependentes"
0.0102,84,0,0.0033,3001,5,0,0,0,1
0.6865,71,0,0.3093,6000,11,0,0,0,1
0.0668,56,0,0.0379,12000,4,0,1,0,1
0.0117,54,0,0.1814,7200,6,0,0,0,0
0.1827,50,0,0.029,5000,15,0,0,0,0
0.0228,49,0,0.8791,6600,15,0,5,0,2
0.2002,79,0,0.2562,4273,6,0,0,0,0
1,48,0,0.5397,15000,12,0,5,0,0
0.1798,37,0,0.0294,6232,3,0,0,0,0
0.0618,59,1,0.5286,3213,17,0,1,0,0
0.719,55,0,0.244,10916,9,0,2,0,1
0.9525,47,0,0.3404,5560,10,0,0,0,3
0.0143,56,0,0.4049,6860,6,0,1,0,2
0.5905,54,1,0.1267,0,7,0,1,0,1
0.1938,37,2,0.1953,5677,8,0,1,0,0
0.0517,69,0,0.0074,3668,5,0,0,0,0
0.0034,52,0,0.0006,5115,4,0,0,0,0
0.0067,76,0,0.1484,5000,6,0,1,0,0
0.8519,46,1,0.3784,12040,13,0,2,0,1
0.2422,76,0,0.8309,2714,21,0,1,0,0
0.0246,70,0,0.1948,7500,12,0,1,0,2
0.2967,56,0,0.3847,5583,13,0,2,0,1
0.205,51,0,0.4074,11000,8,0,3,0,1
0.2442,43,0,0.2351,1333,4,0,1,0,2
0.5994,63,8,0.4274,7000,13,6,2,3,0
0.0056,79,0,0.2326,2600,15,0,0,0,0
0.6037,43,1,0.4084,4000,5,0,1,0,3
0.0432,45,0,0.1713,5666,8,0,1,0,3
0.8784,38,0,0.2773,4583,9,0,0,0,1
0.0589,28,0,0.0809,5500,4,0,0,0,0
0.8733,44,0,0.021,51140,7,2,1,0,3
0.4173,48,1,0.2056,1500,23,0,8,0,2
0.5928,43,0,0.2058,9166,7,0,1,0,2
0.0004,80,0,0,6500,5,0,0,0,0
0.0355,25,0,0.001,5000,2,0,0,0,0
0.8591,52,0,0.1609,3000,2,0,0,0,0
0.1131,27,0,0.131,2800,9,0,0,0,0
0.6414,28,1,0.1608,3500,5,1,0,0,0
0.6357,59,0,0.2529,8110,9,0,1,0,0
0.1831,45,0,0.7913,5600,11,0,2,0,1
0.3473,23,0,0.0945,2200,3,0,0,0,0
0.5291,64,1,0.7131,2749,10,0,0,0,0
0,45,0,0,5200,1,0,0,0,2
0.0028,90,0,0.0765,7083,9,0,0,0,0
0,43,0,0,2300,8,0,0,0,1
0,43,0,0.1971,5708,3,0,1,0,2
0.012,51,0,0.0032,13455,10,0,0,0,1
0.105,26,0,0.0732,6500,6,0,0,1,0
0.5666,37,1,0.3026,12996,9,0,1,0,4
0.3274,83,0,0.3828,2000,10,0,0,0,0
0.0118,89,0,0.0015,3400,4,0,0,0,0
0.0356,50,0,0.4972,15000,9,0,4,0,2
0.9704,40,0,0.391,5600,5,0,1,0,1
0.0158,50,0,0.1493,4667,5,0,1,0,2
0.1933,49,0,0.1157,4000,5,0,1,0,2
0.0459,63,0,0.024,2500,11,0,0,0,0
0,45,1,0.3747,10483,17,0,3,0,0
0.045,63,0,0.1524,9500,4,0,1,0,0
0.3037,54,0,0.6695,3600,11,0,1,0,0
0.0122,64,0,0.0014,32000,3,0,0,0,0
0.831,43,0,0.127,8804,13,0,0,0,0
0,38,1,0.9151,1400,3,1,1,0,2
0.5498,43,0,0.477,8500,7,0,2,0,2
0.0177,53,0,0.2684,9100,6,0,1,0,0
0.0657,50,0,0.265,3626,6,0,1,0,1
0,38,0,0.3823,12800,11,0,4,0,0
0.1354,57,0,0.4084,6667,15,0,1,0,0
0.0142,74,0,0.2135,6333,12,0,1,0,0
0.0216,52,0,0.395,4500,11,0,1,0,2
0.1827,39,0,0.1299,2608,5,0,0,0,2
0.0932,50,0,0.5795,7000,12,0,4,0,0
0.1805,46,0,0.0846,10000,2,0,0,0,0
0.1673,54,0,0.5959,3800,5,0,1,0,1
0.9758,39,0,0.271,1,9,0,1,0,0
0.3595,37,0,0.4495,6833,5,0,2,0,2
0,64,0,0.0364,30452,2,0,0,0,0
0.5684,49,0,0.2958,4320,9,0,1,0,1
0.0985,40,0,0.2581,5000,9,0,1,0,3
0.5957,69,0,0.1897,6477,11,0,1,0,1
0.2882,54,0,0.3204,4930,8,0,1,0,0
0.024,44,0,0.3698,3666,9,0,2,0,0
0.0265,39,0,0.1912,8452,13,0,3,0,1
0.2065,45,0,0.4637,10500,12,0,2,0,1
0.0448,59,0,0.2232,15000,16,0,1,0,0
0.2355,45,1,0.0751,2383,3,1,0,1,0
0.0183,49,0,0.2865,8400,6,0,2,0,2
0.0876,45,0,0.3741,4300,8,0,1,0,2
0.0208,44,0,0.8971,1000,5,0,1,0,0
0.1002,42,1,0.2994,2000,5,0,1,2,0
0.0125,68,0,0.0013,10000,8,0,0,0,1
0.0055,62,0,0.9527,1500,10,0,2,0,2
0.6136,32,2,0.0572,10630,9,0,0,0,0
0.1337,25,0,0.0094,4166,2,0,0,0,0
0.407,39,1,0.4823,8500,11,0,2,0,1
0.2324,33,1,0.2753,2716,7,0,0,0,0
0.0033,76,0,0.1031,2666,7,0,0,0,0
0.2316,57,0,0.0487,9166,3,0,0,0,0
0.057,62,0,0.1161,17750,18,0,1,0,3
0.5895,59,0,0.3038,10300,7,0,1,0,0
1,39,0,0.071,5916,4,0,0,0,2
0.9745,44,0,0.1294,1,6,0,0,0,2
0.9609,56,1,0.2488,2720,10,1,0,0,1
0.0609,40,0,0.0106,1600,4,0,0,0,0
0.5438,59,0,0.6695,7000,16,0,1,0,2
0.4574,50,0,0.4569,5596,7,0,1,0,0
0.4359,60,0,0.5512,8136,11,0,2,0,1
0.8592,51,2,0.1428,24020,13,1,2,4,1
0.1738,51,1,0.0382,10728,11,0,0,0,2
0.2468,72,0,0.1472,4083,3,0,1,0,2
0.0588,27,0,0.0658,4100,6,1,1,0,1
0.891,46,0,0.4356,3700,6,0,0,0,3
0.5477,42,0,0.2119,18000,9,0,2,0,3
0.0673,66,1,0.1531,8000,25,0,0,1,0
0.0747,73,0,0.0306,26500,11,0,1,0,0
0.0734,49,0,0.3387,4200,15,1,2,0,0
0.0178,82,0,0.6771,2607,11,0,1,0,0
1,46,1,0,2000,1,0,0,0,0
0.3342,37,0,0.7421,6777,14,0,2,0,1
0.0418,78,0,0.042,4166,7,0,1,0,0
0.0262,63,0,0.1808,4153,6,0,0,0,0
0.9022,33,0,0.5474,3333,5,0,1,0,0
0.5911,39,1,0.4603,4983,6,0,1,0,3
0.0531,47,0,0.3814,9000,5,0,1,0,4
0.0996,82,0,0.0181,9049,6,0,0,0,0
0.0199,37,2,0.4529,5417,15,0,2,0,2
0,43,0,0.2622,8333,9,0,2,0,2
0.0296,53,1,0.1058,5822,13,0,0,0,1
0.2152,41,0,0.1655,8350,11,0,1,0,0
0.4112,42,0,0.5501,7000,10,0,2,0,2
0.0762,53,0,0.1308,6300,6,0,1,0,2
0.2981,40,0,0.2322,3600,7,0,0,0,2
0.2066,47,0,0.3107,5200,6,0,1,0,2
0.2458,44,1,0.1239,8500,4,0,0,0,4
1,35,0,0.1055,10000,4,1,1,0,3
0.0036,72,0,0.0106,6106,10,0,0,0,0
0.0767,60,0,0.0958,9463,4,0,1,0,2
0,77,0,0,3523,3,0,0,0,0
0.5472,34,0,0.1754,4810,8,1,0,0,1
0.0239,64,0,0.3211,4272,10,0,1,0,0
0.1014,71,0,0.0641,5116,7,0,0,0,0
0.0215,56,0,0.0091,7000,10,0,0,0,3
0.0561,66,0,0.4268,887,6,0,0,0,0
0.0169,76,0,0.3818,4692,19,0,1,0,1
0.5612,29,0,0.1421,3975,5,0,0,0,0
0.372,48,0,0.5881,6000,11,0,1,0,2
0.3078,34,0,0.1188,1800,8,0,0,0,0
0.966,40,0,0.578,3750,9,0,0,0,0
0.063,68,0,0.2742,3500,5,0,0,0,0
0,51,2,0,12500,4,0,0,0,0
1,23,0,0.209,1200,1,0,0,0,0
0.0661,54,0,0.1308,17433,4,0,2,0,1
0.7669,45,0,0.0588,17000,6,0,0,0,3
0.0992,68,0,0.2594,10772,6,0,1,0,2
0.1817,56,0,0.1607,12500,20,0,1,0,0
0.0862,47,0,0.3799,6500,15,0,3,0,2
0.0144,38,0,0.2981,12500,6,0,2,0,3
0.3047,57,4,0.3657,8183,9,0,1,0,1
0.1234,63,0,0.0724,7427,8,0,0,0,1
0.5715,77,1,0.9735,1772,11,0,0,0,0
0.1155,37,0,0.2807,4916,5,0,1,0,2
0.6683,46,0,0.4931,5000,5,0,1,0,0
0.7942,53,0,0.434,2400,5,2,1,0,0
0.5639,50,0,0.1155,15000,9,0,1,0,1
0.2913,38,0,0.2847,10666,7,0,1,0,2
0.2345,52,0,0.4715,5000,14,0,0,0,0
0.0825,54,0,0.8869,2474,10,0,2,0,0
0.6848,77,3,0.4798,10303,16,3,2,0,1
0.0175,44,1,0.2869,9583,8,0,1,0,0
0,54,0,0.2614,4884,12,1,1,1,1
0.2833,57,0,0.495,9166,21,0,2,0,0
0.3849,37,0,0.6388,8584,15,0,2,0,0
0.1748,41,1,0.1945,4828,7,0,0,0,2
0,51,0,0.703,10000,20,0,3,0,3
0.9912,60,0,0.7893,6284,7,0,2,0,3
0.101,78,2,0.4638,12855,10,0,1,1,0
0.0792,47,0,0.4118,5533,11,0,2,0,1
0.0247,51,0,0.0072,2500,3,0,0,0,0
0.0798,59,0,0.2462,12451,14,0,2,0,0
0.0592,56,0,0.0142,3454,4,0,0,0,0
0.0998,38,0,0.2273,7666,9,0,1,0,0
0.0828,48,0,0.2759,10500,8,0,2,0,0
1,23,0,0,800,0,0,0,0,0
0.7674,35,0,0.1134,3500,2,0,0,0,2
0.0428,66,0,0.6333,5300,14,0,2,0,0
0.0534,41,0,0.4522,12500,7,0,2,0,2
0.06,70,0,0.4411,3139,6,0,1,0,0
0,66,0,0.7222,3710,5,0,3,0,1
0,46,0,0.139,6000,6,0,1,0,2
0.7685,50,0,0.5116,5525,6,0,1,0,3
0.3974,35,1,0.9781,3333,17,0,1,0,2
0.0095,59,1,0.2759,6150,4,0,1,0,1
0.0731,27,0,0.1739,1500,7,0,0,0,0
0.1857,41,0,0.2512,8000,11,0,2,0,1
0.0691,61,0,0.2098,12814,7,0,1,0,1
0.722,45,0,0.1799,2145,12,0,3,0,2
0.0327,88,0,0.1373,0,2,0,1,0,0
0.1092,38,4,0.8824,8000,14,1,2,0,1
0.0475,67,0,0.3084,3855,12,0,1,0,0
0.4574,28,0,0.0707,1442,2,0,0,0,0
0.0377,77,0,0.0095,4000,3,0,0,0,0
0.7992,65,0,0.2865,10400,5,0,1,0,2
0.351,35,0,0.1594,3200,7,0,1,0,0
0.7887,24,0,0.3313,2000,6,0,0,0,0
0.1841,53,0,0.6059,4440,10,0,3,0,1
1,60,0,0.1985,10416,4,2,1,0,2
0.0251,56,1,0.618,10000,14,0,5,0,0
0.2443,64,0,0.1225,981,13,0,1,0,0
0.1108,21,0,0.0082,4000,2,0,0,0,0
0.8522,64,0,0.5444,5352,8,0,1,0,0
1,53,0,0.4389,4200,8,0,1,0,0
0.0746,41,0,0.2527,11600,6,0,1,0,1
1,59,0,0.4102,2539,4,0,0,0,0
0.1794,88,0,0.3077,1316,13,0,0,0,0
0.0332,51,1,0.3579,6500,10,0,1,0,3
0.0343,35,0,0.2893,6473,10,0,2,0,0
0.0252,76,0,0.014,2500,4,0,0,0,0
0,43,0,0.5197,5185,8,0,1,0,0
0.0223,65,0,0.3689,5000,13,0,1,0,0
0.9879,61,2,0.1495,4500,4,0,0,0,0
0.0129,72,0,0.0024,2500,1,0,0,0,0
0.0611,83,0,0.0568,1972,9,0,0,0,0
0.013,63,0,0.2915,13740,7,0,2,0,1
0.0212,61,0,0.4126,10500,11,0,2,0,0
0.104,27,2,0.435,1160,4,0,0,0,0
1,24,0,0.613,800,1,0,0,0,0
1,38,1,0.1863,3000,0,2,0,0,2
0,46,1,0.2695,3001,2,0,1,0,0
0.5696,39,3,0.3224,7700,8,0,1,0,5
0.5178,62,1,0.4816,9166,11,0,2,0,0
0,38,0,0.0911,44574,7,0,1,0,3
0.0072,44,0,0.2202,9283,6,0,1,0,1
0,76,0,0.6206,600,5,0,0,0,0
0.9312,64,0,0.3481,3139,5,0,1,0,0
0.0049,27,0,0.4146,2500,8,0,1,0,0
0.6552,48,0,0.5887,10833,16,0,2,0,3
1,31,1,0.6784,4150,3,2,3,3,1
0.0126,47,0,0.2833,5502,7,0,1,0,0
0.7182,66,1,0.4823,7500,4,0,1,0,0
0.0137,74,0,0.0826,10119,14,0,1,0,0
0.0022,69,1,0.3452,1630,12,0,1,0,0
0.277,44,0,0.6122,4166,9,0,1,0,0
0.6886,62,2,0.0896,23000,13,0,0,0,0
0.1,48,0,0.1213,6110,9,0,0,0,2
0.0162,50,0,0.0238,125,4,0,0,0,1
0.2921,75,0,0.5197,4240,10,0,1,0,0
0.0247,49,0,0.017,1702,3,0,0,0,0
0.4362,45,0,0.2968,1,15,0,1,0,2
0.4512,58,0,0.7261,5000,8,0,3,0,0
0.313,44,0,0.9279,3800,18,0,2,0,0
0.1569,52,4,0.3463,8000,9,0,4,0,2
0.3003,50,0,0.6412,2800,5,0,1,0,0
0.3479,34,0,0.027,6250,6,0,0,0,2
0.0005,38,0,0.1733,3583,10,0,0,0,0
0.0141,55,0,0.82,4100,13,0,1,0,3
0.3234,57,0,0.2707,25473,18,0,2,0,1
0.0009,48,1,0.1422,2924,4,0,1,0,0
0.3865,70,0,0.6267,4237,6,0,1,0,0
0.0911,33,0,0.5121,11372,12,0,6,0,0
0.0619,47,0,0.4758,9000,14,0,2,0,0
0.1329,60,0,0.1233,4166,17,0,1,0,3
1,27,0,0.4707,1280,3,2,0,1,0
0.0205,48,0,0.1762,9023,5,0,1,0,2
0,39,0,0.4349,6400,5,0,1,0,2
0.0238,62,0,0.0404,5500,10,0,1,0,1
0.7488,48,0,0.1925,5500,2,0,0,0,0
0.1071,23,0,0.0585,820,2,0,0,0,0
0.0143,59,0,0.1663,6000,10,0,1,0,0
0.1285,44,0,0.3967,2666,5,0,0,0,0
0.0195,62,0,0.2582,4000,15,0,2,0,0
0,67,0,0,5000,8,0,0,0,0
0.009,65,0,0.2969,3000,10,0,0,0,0
1,50,0,0.0003,3300,1,0,0,0,0
0.1749,69,0,0.2499,6266,18,0,2,0,0
0.0856,45,0,0.2165,11900,4,0,1,0,0
0.6679,59,1,0.4141,45000,17,0,4,0,3
0.5466,67,3,0.9103,4000,16,0,2,0,0
1,41,0,0.0309,3916,0,1,0,0,3
0.0614,55,0,0.1992,10428,7,0,1,0,0
0.2579,52,0,0.4858,8916,5,0,2,0,2
0.2159,53,0,0.4218,7500,11,0,1,0,2
0.1188,59,0,0.1383,4200,24,0,5,0,0
0.5836,55,0,0.4143,3139,3,0,1,0,0
0.8913,43,0,0.3296,8500,8,0,1,0,1
0.1323,27,0,0.0636,7400,16,0,0,0,0
0.1264,67,0,0.2861,11300,8,0,3,0,1
0.8435,64,0,0.5773,7075,15,0,1,0,1
0.0353,63,0,0.5336,3500,10,0,1,0,1
0.1798,60,0,0.1074,2000,3,0,0,0,0
0.1036,48,0,0.3377,5800,8,0,1,0,3
0.1002,60,2,0.2851,7800,9,0,0,1,1
0.1682,58,1,0.4067,8700,13,0,1,0,0
0.4442,52,0,0.2872,10300,7,0,2,0,0
1,53,0,0.1422,7116,3,0,0,0,0
0.0789,60,2,0.7667,4500,19,0,2,0,0
0.0137,82,0,0.1686,6400,6,0,2,0,1
0.1914,29,0,0.454,3750,8,0,1,0,0
0.4167,31,0,0.41,9165,7,0,1,0,2
0.066,47,0,0.3761,8916,10,0,2,0,2
0.0259,49,0,0.3373,7800,9,0,2,0,5
0.0015,52,0,0.1509,13587,10,0,1,0,3
0.6691,53,0,0.8815,1400,7,0,0,0,0
0.4154,52,6,0.3948,8902,18,1,3,0,2
0.0036,47,0,0.1793,6224,7,0,1,0,1
0.5455,41,0,0.3283,8328,6,0,1,0,2
0.2878,55,0,0.1838,5000,8,0,0,0,2
0.9051,40,0,0.4154,2700,8,0,0,0,0
1,52,1,0.1086,2540,1,2,0,0,3
1,34,0,0,4200,2,0,0,0,0
0.4639,50,0,0.0665,8000,4,0,0,0,2
0.2615,31,0,0.6263,5800,14,0,1,0,0
0,68,0,0.2614,12000,7,0,1,0,0
0.0262,44,0,0.2799,10332,15,0,1,0,0
0.6776,70,2,0.9607,2083,13,0,1,1,0
0.0049,54,1,0.2906,851,21,0,3,0,0
0,53,1,0.7352,2337,20,0,1,0,0
0,54,0,0.1865,15000,20,0,1,0,0
0.0198,80,0,0.0065,4000,7,0,0,0,0
0.3229,54,0,0.5117,4500,10,0,2,0,0
0.2069,38,1,0.4179,3433,5,0,1,1,2
0.5568,43,1,0.0748,5000,6,0,0,0,3
0.1234,39,1,0.8712,3500,12,0,2,0,2
0.0755,52,0,0.5269,6600,9,0,2,0,0
1,46,1,0.0066,3340,2,0,0,0,2
0.5186,43,0,0.2112,5000,4,0,1,0,2
0.4867,43,0,0.2529,9533,15,0,1,0,0
0.4743,23,0,0.0113,2557,3,0,0,0,0
0.6988,39,2,0.0365,10054,3,0,0,0,3
0.1336,53,0,0.2083,13000,19,0,1,0,3
0.5921,73,0,0.4964,6292,6,0,1,0,0
0.0797,49,0,0.3094,5600,4,0,1,0,2
0.0589,56,0,0.6393,6700,31,0,2,0,1
0.5922,64,0,0.2616,9750,6,0,1,0,2
0.8842,31,0,0.2885,8333,6,0,0,0,0
1,34,0,0.3261,6334,4,0,1,0,0
0.8288,66,0,0.1009,8600,21,0,2,0,1
0.0041,48,0,0.3122,3500,5,0,1,0,0
1,34,0,0.1243,3000,2,0,0,0,0
1,28,0,0.159,1785,1,0,0,0,0
0.581,58,0,0.419,23250,21,0,4,0,0
0.0739,44,0,0.1502,11666,5,0,2,0,1
0.1613,37,0,0.3593,6506,6,0,1,0,0
0.0589,45,0,0.8284,5000,15,0,1,0,2
0.0559,78,0,0.0226,3500,5,0,0,0,0
0.0246,64,0,0.3363,6000,8,0,0,0,0
0.0947,63,0,0.0858,11323,3,0,1,0,2
0.0009,45,0,0.3654,3516,10,0,1,0,0
0.1802,40,0,0.3321,16250,12,0,3,0,3
0,57,0,0.4996,6000,9,0,2,0,3
0.0794,32,0,0.6109,950,8,0,1,0,0
0.8893,43,0,0.3985,6583,9,0,1,0,2
0.2688,43,0,0.3279,5400,7,0,1,0,0
0.3729,61,0,0.5308,3750,7,0,1,0,0
0.037,46,0,0.3228,13333,7,0,1,0,0
0.0073,46,0,0.2077,9300,11,0,1,0,3
0,39,0,0.4244,6083,7,0,2,0,0
0.1808,61,0,0.0895,2301,3,0,0,0,0
0.0727,58,0,0.5147,6750,6,0,3,0,2
0.2219,31,0,0.1019,5350,2,0,0,0,0
0.1845,68,1,0.4817,6459,9,0,1,0,0
0.4079,45,0,0.0662,11833,3,0,0,0,2
0.0421,76,0,0.0051,10487,8,0,0,0,0
0.0193,35,0,0.3505,6666,9,0,1,0,2
0.5351,54,1,0.2132,7583,6,0,1,0,1
0.3959,34,0,0.4075,2600,6,0,0,0,1
0.0456,70,0,0.0011,25000,4,0,0,0,0
0.0777,68,0,0.0334,23200,4,0,1,0,1
0,47,0,0.185,7914,5,0,1,0,0
0.6654,67,0,0.2215,7700,10,0,1,0,0
0.549,33,0,0.2585,10784,9,0,0,0,0
0,27,0,0.0894,3400,3,0,0,0,0
1,32,3,0.311,5800,8,0,1,3,2
0.445,68,0,0.4259,4200,10,0,0,0,0
0.0691,61,1,0.1655,6900,6,0,0,0,0
0.2359,48,0,0.1063,11000,3,0,0,0,1
0.386,64,0,0.4451,3250,5,0,1,0,0
0.027,50,0,0.1135,8654,2,0,1,0,0
0.5544,55,0,0.2924,1750,6,0,0,0,0
0.3426,59,0,0.7095,4050,18,0,1,0,1
0.4119,53,0,0.3597,7005,8,0,1,0,0
1,44,2,0.5459,1959,4,2,2,1,2
0.0246,35,0,0.2554,5605,5,0,1,0,0
0.0109,76,0,0.4288,8333,10,0,2,0,1
0.1142,46,0,0.2357,8200,4,0,2,0,0
0.2622,52,1,0.2441,10976,6,0,1,0,3
0,39,0,0.2677,4333,11,0,0,0,1
0.0314,76,0,0.2753,8400,6,0,2,0,0
0.0227,73,1,0.0126,3653,8,0,0,0,0
1,37,0,0.3348,2000,3,3,0,1,2
0.1003,33,0,0.1179,2300,17,0,2,0,1
0.0057,44,0,0.0323,15016,6,0,0,0,1
0.0505,47,0,0.1814,7917,18,0,1,0,2
0.0232,41,1,0.2749,2200,8,0,0,0,1
0.101,61,0,0.1443,5427,7,0,0,0,0
0.2121,67,1,0.5148,1386,15,0,0,0,0
0.0433,43,0,0.3364,7933,9,0,1,0,0
0,28,1,0.2019,1995,4,0,0,0,1
0.0389,46,0,0.6319,10000,14,0,2,0,2
0.0001,69,0,0.3799,3400,13,0,1,0,0
0.0035,78,1,0.059,8579,7,0,0,0,0
0.2863,74,0,0.5585,15916,33,0,2,0,0
0.0851,62,0,0.2388,9500,11,0,2,0,0
0.7626,32,2,0.1459,4110,2,0,0,1,2
0.0251,89,0,0.0044,4755,9,0,0,0,0
0.0246,90,0,0.8562,7000,6,0,1,0,1
0.0319,77,0,0.3648,4920,11,0,2,0,0
0,39,2,0.443,10000,8,0,1,0,1
0.1842,35,1,0.977,0,4,0,1,0,2
0.0148,86,0,0.3898,4583,5,0,1,0,0
0.3887,36,0,0.565,7500,12,0,2,0,2
0,33,0,0.0593,10583,5,0,0,0,2
0.0412,90,0,0.0112,11000,9,0,0,0,1
0.0359,73,0,0.2592,4166,8,0,1,0,0
0.0952,68,0,0.1286,800,4,0,0,0,0
0.0148,65,0,0.0083,4450,6,0,0,0,1
0.2053,47,1,0.1903,6500,6,0,0,0,2
0.1078,70,0,0.2902,11348,26,0,2,0,0
0.2506,31,0,0.1371,3333,3,0,0,0,0
0.6586,64,0,0.45,7494,14,0,1,0,1
0.2036,39,0,0.1323,13999,9,0,1,0,3
0,74,0,0.2276,5100,9,0,2,0,0
0.5514,25,0,0.0966,4200,3,0,0,0,3
0.0603,58,0,0.0482,17109,5,0,1,0,1
0.112,37,0,0.2325,11666,2,0,1,0,4
0.0737,76,0,0.0052,5977,4,0,0,0,0
0.2321,55,0,0.4894,5998,11,0,1,0,0
0.016,60,0,0.2008,16425,8,0,1,0,0
0.0028,25,0,0.2315,2250,4,0,0,0,0
0.8291,32,0,0.2216,6584,5,1,1,0,3
0.0128,62,0,0.1845,9583,11,0,2,0,2
0.2133,30,0,0.1844,3183,7,0,0,0,0
0.0848,39,0,0.0049,2656,1,0,0,0,2
0,25,0,0.2594,2100,6,0,0,0,0
0.0734,27,0,0.0997,4033,5,0,0,0,1
0.2724,41,0,0.2031,0,6,0,1,0,1
0.4502,62,0,0.1689,4800,5,0,0,0,0
0.6293,33,1,0.4726,7250,13,0,2,1,3
0.3348,53,2,0.3836,5205,8,0,1,3,5
0.3776,44,0,0.1939,6920,6,0,2,0,1
0.0274,38,0,0.0966,1800,4,0,0,0,3
0.0144,57,0,0.169,10833,11,0,1,0,1
0.786,48,0,0.2582,3826,9,0,0,0,0
0.1423,31,0,0.1657,500,3,0,0,0,0
0.002,60,0,0.5805,8770,26,0,2,0,1
0.0631,42,0,0.372,9916,14,0,3,0,0
0.0954,30,0,0.2813,5346,5,0,1,0,0
0.0625,57,1,0.0387,16000,5,0,0,0,3
0.021,50,0,0.486,12000,9,0,2,0,2
1,44,0,0.0479,7291,3,0,0,0,1
0.0011,56,0,0.1906,3734,12,0,1,0,0
0.1791,37,0,0.047,7535,4,0,0,0,4
0.0012,38,1,0.5076,6100,19,0,1,1,0
0.1972,82,0,0.2064,9949,14,0,2,0,0
0.4735,50,0,0.3562,5908,11,0,3,0,3
0.1303,62,0,0.3464,3400,11,0,1,0,0
0,73,0,0.2218,7500,3,0,1,0,0
0.1416,38,0,0.633,3500,13,0,1,0,2
0.0052,56,0,0.2597,5000,8,0,1,0,2
0.2986,55,0,0.2982,3500,8,0,2,0,0
0.8018,59,0,0.5374,3864,6,0,1,0,0
0.5713,54,0,0.9048,6000,11,0,2,0,0
0.0555,42,0,0.2098,10834,5,0,1,0,0
1,41,1,0.1212,3333,1,0,0,0,0
0.009,79,0,0.0052,2489,5,0,0,0,0
0.5337,41,0,0.89,4000,9,0,1,0,2
0.0089,63,0,0.0038,8475,7,0,0,0,0
0.2118,70,0,0.0783,5416,6,0,0,0,1
0.3237,77,1,0.2499,3280,6,0,0,0,0
0.1951,50,0,0.5941,5917,23,0,1,0,2
0.4488,51,0,0.4778,12750,13,0,3,0,2
0.0011,57,0,0.0954,5000,9,0,0,0,0
0.8788,73,0,0.1542,7917,17,0,4,0,1
0.0438,78,0,0.2142,500,6,0,1,0,0
0.0112,77,0,0.2648,8881,6,0,2,0,0
0.0091,72,0,0.0018,9992,6,0,0,0,0
0.1356,31,0,0.206,4547,7,0,0,0,1
