"inadimplente","util_linhas_inseguras","idade","vezes_passou_de_30_59_dias","razao_debito","salario_mensal","numero_linhas_crdto_aberto","numero_vezes_passou_90_dias","numero_emprestimos_imobiliarios","numero_de_vezes_que_passou_60_89_dias","numero_de_dependentes"
0,0.7735,63,0,0.1129,4139,12,0,1,0,1
0,0.094,55,0,0.1121,9450,6,0,2,0,0
0,0.2196,54,0,0.316,5417,20,0,2,0,1
0,0.148,55,0,0.3231,6799,5,0,1,0,0
0,0.2439,53,0,0.534,8639,22,0,2,0,3
0,0.1167,31,0,0.3436,3800,7,0,1,0,0
0,1,38,0,0.4337,5821,7,0,1,0,4
0,0.4969,40,0,0.4524,12500,11,0,2,0,2
0,0.1309,48,1,0.4279,3937,17,0,1,0,0
0,0.547,50,0,0.7481,3500,9,0,2,0,3
0,0.0723,34,0,0.0259,2083,2,0,0,0,0
0,0,48,2,0.3709,3000,14,0,1,0,5
0,0.1759,57,1,0.6558,3500,9,0,1,0,1
0,0.0508,30,0,0.3152,4000,4,0,1,0,1
0,0,28,0,0.1446,3166,7,0,0,0,0
0,0.2129,36,0,0.5638,9583,10,0,2,0,1
0,0.0127,60,0,0.413,6825,20,0,2,0,0
0,0.1216,58,0,0.343,12000,23,0,2,0,4
0,0.0408,49,0,0.802,3100,11,0,1,0,0
0,0.1477,40,0,0.0348,6800,6,0,0,0,3
0,0,50,1,0.7266,3477,5,0,1,0,1
1,0.1046,47,1,0.1104,5416,6,0,2,0,1
0,0.3237,63,0,0.6108,5146,9,0,2,0,2
0,0.3646,42,0,0.5939,6916,7,0,3,0,0
0,0.6377,54,2,0.3382,1875,9,0,2,0,0
0,0.021,29,0,0.6395,1,3,0,1,0,2
0,0.1701,36,0,0.1385,7734,8,0,0,0,0
0,0.7718,33,0,0.8524,5000,7,0,3,0,0
0,0.0554,72,0,0.0891,4500,4,0,0,0,0
0,0.1665,53,0,0.5436,7506,11,0,3,0,3
0,0.0086,79,0,0.3652,4200,9,0,1,0,0
0,0.1353,58,0,0.342,9455,11,0,2,0,2
0,0.1676,69,0,0.3307,5000,10,0,1,0,1
0,1,69,0,0.0053,2255,0,1,0,0,3
0,0.0683,75,0,0.0109,10065,9,0,0,0,0
0,0,41,0,0.9075,2400,6,0,1,0,0
0,0.4052,46,0,0.6678,7700,22,0,2,0,1
0,0.6762,55,0,0.4367,3970,10,1,1,0,0
1,0.0853,51,0,0.4775,6200,11,0,1,0,0
1,0,25,0,0.1529,2916,3,0,0,1,0
1,0.7865,44,0,0.2917,3883,7,2,0,2,1
0,0.0383,56,0,0.4389,5000,7,0,2,0,0
0,0.715,55,0,0.4709,15000,12,0,2,0,3
0,0.043,64,0,0.332,6833,14,0,2,0,0
0,0.1095,53,5,0.5367,3500,7,1,1,2,0
0,1,55,0,0.1563,3250,5,0,0,0,4
0,0.1014,80,1,0.0162,5000,9,0,0,0,0
1,0.0259,38,0,0.745,1,13,0,0,0,2
0,0.7622,44,4,0.2245,21000,5,0,1,0,3
0,0.2317,40,0,0.1197,3300,7,0,0,0,0
0,0.0355,69,0,0.3084,3400,9,0,1,0,0
0,0.0454,64,0,0.1813,5200,4,0,1,0,0
0,0.312,61,0,0.2693,9866,12,0,2,0,2
0,0.0787,46,0,0.1662,4800,6,0,1,0,4
0,0.1376,49,0,0.4295,7272,11,0,2,0,0
0,0.0302,64,0,0.1739,9000,8,0,1,0,0
0,0.022,40,0,0.4438,10000,12,0,5,0,2
0,0.4437,27,0,0.0243,5833,4,0,0,0,0
0,0.0466,92,1,0.0343,2650,13,0,0,0,0
0,0.2924,50,0,0.4202,8750,8,0,2,0,0
0,1,66,1,0.3581,1937,4,1,0,0,0
0,0.0135,53,0,0.1835,19000,8,0,1,0,2
0,1,62,0,0.0497,6000,1,0,0,0,0
0,0.0281,61,0,0.0313,2200,12,0,0,0,0
0,0.2227,42,0,0.8,1,3,0,1,0,2
0,0.594,63,0,0.3327,5250,4,0,2,0,0
0,0.0175,73,1,0.1356,4166,12,0,1,0,0
0,0.6119,72,0,0.0458,7600,3,0,1,0,0
0,0.3331,52,3,0.7002,5215,15,0,2,1,0
0,0.009,45,0,0.3768,8167,4,0,1,0,2
0,0.2603,44,0,0.2969,6962,11,0,1,0,0
0,0.456,63,1,0.7018,6001,19,0,2,0,0
0,0.0803,37,0,0.3224,6000,7,0,1,0,0
1,0.1953,38,0,0.1535,3556,5,0,0,0,2
0,0.1816,36,0,0.5607,2000,7,0,1,0,1
0,0.1471,41,0,0.436,6400,5,0,1,0,2
0,0.0256,63,1,0.2628,10000,8,0,1,0,0
0,0,76,0,0.0025,7704,3,0,0,0,0
0,0.1964,43,0,0.5375,2600,10,0,1,0,0
0,0.0839,64,0,0.5881,2900,6,0,1,0,0
0,0.0348,67,0,0.4602,12916,9,0,2,0,0
0,0.7875,52,0,0.3539,4416,12,0,0,0,1
0,0.1254,55,0,0.4767,5000,3,0,2,0,0
0,0.0604,42,0,0.5787,5833,17,0,2,0,2
0,0.2959,47,0,0.2838,14000,6,0,2,0,1
1,0.9733,61,1,0.21,5500,11,0,0,1,1
0,0.0029,73,0,0.0003,10500,10,0,0,0,0
0,1,68,0,0.0405,6000,0,0,0,0,0
0,0.0534,41,0,0.2036,9000,3,0,1,0,0
0,0.7327,44,2,0.1404,9200,15,0,1,0,0
0,0.0842,42,0,0.4586,6694,26,0,2,0,4
0,0.1146,40,0,0.36,10000,20,0,2,0,2
0,0.0122,78,0,0.0089,4500,12,0,0,0,0
0,0.0813,81,0,0.1656,3333,4,0,0,0,0
0,0.0981,49,0,0.257,6625,9,0,2,0,0
1,0.1048,58,7,0.152,3500,12,0,0,0,0
0,0.0119,54,0,0.0929,9750,8,0,1,0,2
0,0.7526,33,1,0.0583,7166,6,0,0,0,0
0,0.1123,53,0,0.2669,8500,9,0,1,0,5
0,0,23,0,0,1725,1,0,0,0,0
0,0.6343,49,1,0.1231,15000,7,0,0,0,1
0,0.1558,44,0,0.2781,4825,4,0,1,0,2
0,0,63,0,0.008,9387,9,0,0,0,0
0,0.0346,65,0,0.1252,12500,4,0,1,0,1
0,0.4124,28,0,0.0373,4991,5,0,0,0,0
0,0.0467,66,0,0.1118,2500,12,0,1,0,0
0,0.9765,32,0,0.2641,6800,6,0,0,0,2
0,0.008,43,1,0.0097,208333,11,0,1,0,1
0,0.2675,59,0,0.6376,5700,13,0,2,0,1
0,0.0198,76,0,0.2671,2900,9,0,0,0,0
0,0.0104,68,0,0.0941,3600,6,0,1,0,0
0,1,61,0,0.5295,1285,3,0,1,0,0
0,0.0298,68,0,0.1751,4464,12,0,1,0,1
0,0.1817,57,0,0.1305,11666,17,0,1,0,1
0,0.0514,68,0,0.4453,4668,10,0,1,0,2
0,0.2926,57,0,0.2059,26484,11,0,2,0,3
1,0.2208,46,1,0.6377,1705,5,0,0,0,0
0,0.0081,69,0,0.3899,8332,3,0,1,0,0
0,0,44,0,0.3264,6666,4,0,2,0,1
0,0.0061,28,0,0.1394,3750,8,0,0,0,0
0,0.9095,53,1,0.5957,7500,16,0,1,0,1
0,0.9411,40,0,0.1782,8855,9,0,1,0,0
0,0.9917,36,1,0.5549,5411,10,0,2,0,1
0,0.6915,42,0,0.2727,16250,11,0,1,0,1
0,0.1129,64,0,0.3076,2652,6,0,1,0,0
0,0.0482,62,0,0.2629,16615,11,0,1,0,1
0,1,47,0,0.0922,9493,2,2,0,1,0
0,1,62,0,0,5480,3,0,0,0,0
0,0.0743,49,0,0.3479,5000,11,0,2,0,3
0,0.1449,66,0,0.2845,8900,9,0,1,0,0
0,0.191,54,0,0.7056,5081,10,0,2,0,2
0,0.6798,83,0,0.6896,4216,6,0,2,0,0
0,0.234,45,0,0.3393,8333,7,0,2,0,2
0,0.3719,29,0,0.5363,2300,9,0,1,0,3
0,0.0259,67,0,0.0838,13054,13,0,1,0,0
0,0.5479,29,1,0.2465,2725,5,0,0,1,0
0,0.2717,46,1,0.2828,15800,14,0,2,0,4
0,0.0852,25,0,0.1005,0,5,0,0,0,0
0,0.8972,68,0,0.7878,4000,8,0,2,0,0
0,0.2589,33,0,0.5374,4900,3,0,1,0,1
0,0,55,1,0.0399,5590,8,0,0,0,0
0,0.0359,46,0,0.2712,6666,10,0,1,0,3
0,1,66,0,0.0466,11600,2,0,0,0,1
0,0.4652,66,0,0.3914,3172,8,1,1,0,0
0,0.8654,48,0,0.0758,500,1,0,0,0,0
0,0.6964,52,0,0.4089,11000,11,0,1,0,4
0,0.5445,32,1,0.1668,6667,5,1,0,0,0
0,0.0812,51,0,0.0668,7750,14,0,0,0,2
0,0.9488,27,0,0.1449,4166,5,0,0,0,0
0,0,32,2,0.4636,7460,10,0,1,1,0
0,0.0166,30,0,0.1366,1500,5,0,0,0,0
0,0.0633,37,0,0.3299,6179,6,0,1,0,3
0,0.0936,49,0,0.0428,8333,10,0,0,0,1
0,0,37,0,0.184,7900,5,0,1,0,5
0,0.7303,36,1,0.6328,5500,10,0,2,0,0
0,0.4264,62,1,0.4061,3666,15,0,1,0,0
0,0.949,57,0,0.0437,8000,3,0,0,0,1
0,0,59,0,0,4200,7,0,0,0,1
0,0.1003,38,2,0.4725,3550,8,1,0,1,4
0,0.0229,37,0,0.2885,6100,16,0,1,0,0
0,0.2838,63,0,0.7502,1244,9,0,0,0,0
0,0.3198,32,0,0.1247,12500,12,0,8,0,0
0,0.1552,52,0,0.4835,6946,15,0,2,0,1
0,0.0131,43,0,0.4211,0,21,0,2,0,2
0,0.0673,29,1,0.1683,2090,3,0,0,0,0
0,0.2842,45,1,0.3189,7500,9,0,1,0,2
0,0.7276,38,0,0.7125,2423,6,0,1,0,1
0,0.6878,62,0,0.2495,7090,15,0,0,0,0
0,0.0337,41,0,0.4087,6500,9,0,1,0,2
0,0,29,0,0.1939,3000,7,0,0,0,0
1,0.0372,47,0,0.0398,25000,11,0,1,0,3
0,0,55,1,0.3883,4400,4,0,2,0,1
0,0.0536,87,0,0.0015,5213,4,0,0,0,0
0,0.1008,41,0,0.1998,9230,7,0,1,0,0
0,0,61,0,0.1395,913,11,0,2,0,0
0,0.3999,28,0,0.1897,4000,6,0,0,0,1
0,0.0527,43,0,0.5723,1984,9,0,0,0,4
0,0.0723,71,0,0.4264,4300,8,0,2,0,1
0,0.204,46,0,0.0729,16100,6,0,1,0,2
0,1,30,0,0.0903,5600,1,0,0,0,0
1,0.8804,43,0,0.4613,7523,6,0,1,0,1
0,0.4292,59,0,0.3813,15928,17,0,1,0,1
0,0.3609,72,0,0.3567,3697,6,0,1,0,0
0,0.3357,50,0,0.4572,5773,9,0,1,0,1
1,0.6357,68,1,0.2181,25000,27,0,3,0,0
0,0.508,69,2,0.1939,3000,10,2,0,2,0
0,1,37,0,0.1846,4500,2,0,0,0,1
0,0.6301,38,0,0.5633,1886,3,0,1,0,0
0,0.0284,59,0,0.034,14330,12,0,1,0,0
0,0.1434,67,0,0.1195,5666,9,0,0,0,0
0,0.1867,30,0,0.6981,2500,7,0,2,0,2
0,0.4964,56,0,0.1702,19580,12,0,1,0,1
0,0.4575,51,0,0.3336,8000,16,0,2,0,2
0,0.9473,28,0,0.4672,1187,4,0,0,0,0
0,0.0139,54,0,0.0177,4700,7,0,0,0,2
0,0.1047,35,2,0.3146,3871,8,0,2,1,3
0,0.0126,79,0,0.0096,2500,11,0,0,0,0
0,0.5434,46,0,0.2671,5000,6,0,2,0,3
0,0.0823,64,0,0.2144,8636,29,0,1,0,1
0,0.2925,74,0,0.1649,2000,3,0,0,0,0
0,0.0242,64,0,0.1015,10500,20,0,1,0,0
0,0.0477,63,0,0.388,9000,6,0,2,0,0
1,0.7391,63,1,0.2852,6150,12,0,0,0,1
0,0.1869,54,0,0.6556,3640,7,0,1,0,1
0,0.0075,63,0,0.2782,8050,13,0,2,0,3
0,0.5223,45,0,0.2902,14491,13,0,1,0,3
0,0.9032,57,0,0.1308,5228,10,0,0,0,0
0,0.017,43,0,0.1082,2300,6,0,0,0,1
0,0.0607,61,0,0.0085,20000,8,0,0,0,0
0,0.25,60,0,0.2086,7550,26,0,0,0,0
0,0.4663,34,2,0.0075,3201,3,0,0,0,0
0,1,60,0,0,4200,0,0,0,0,0
0,0.2679,76,0,0.2855,8200,12,0,0,0,0
0,0.0297,76,0,0.0705,9600,7,0,0,0,2
0,0.3052,39,0,0.1883,10154,6,0,1,0,2
0,0.7025,63,0,0.5822,4697,8,0,2,0,1
0,0.7424,52,0,0.4141,9700,10,0,2,0,0
0,1,42,1,0.1134,6250,3,3,0,1,2
0,0.1342,63,0,0.9265,1,9,0,1,0,0
0,0.0026,58,0,0.1158,7752,17,0,0,0,2
0,0.0888,62,0,0.0738,5394,5,0,0,0,0
0,0.2039,46,1,0.1207,5800,12,1,4,0,2
0,0.0067,27,0,0.0003,7444,5,0,0,0,0
0,0.014,27,0,0.3522,3724,4,0,1,0,1
0,1,35,1,0.093,3064,1,0,0,0,3
0,0.3689,55,0,0.438,9700,18,0,2,0,0
0,0.0546,73,0,0.0433,16666,13,0,0,0,0
0,0.1795,51,0,0.4925,10173,19,0,4,0,0
0,0.0269,36,0,0.3449,11200,6,0,2,0,2
0,0.2657,56,0,0.2591,31666,8,0,3,0,1
0,0.0708,64,0,0.2553,6000,6,0,0,0,1
0,0.031,56,0,0.1314,4800,11,0,1,0,0
0,0.1449,37,0,0.0454,6700,5,0,0,0,0
0,0.353,48,0,0.13,4166,17,0,1,0,1
0,0.0201,36,0,0.3342,4750,5,0,1,0,0
1,0.7339,49,2,0.3692,8785,20,0,2,0,2
0,0.0635,57,0,0.2221,1,12,0,2,0,0
0,0.0316,39,0,0.6447,3900,14,0,1,0,1
1,0.9915,61,10,0.1298,3000,11,2,3,5,1
0,0.3977,38,0,0.4163,5750,6,0,1,0,2
0,0.9714,24,0,0.0358,1200,3,0,0,0,0
0,0,73,0,0.3867,4550,18,0,0,0,0
0,1,79,0,0.1301,5178,6,0,1,0,0
0,0.0039,81,0,0.0008,3648,1,0,0,0,1
0,0.0109,55,0,0.7251,2000,7,0,2,0,0
0,0.6861,57,0,0.1607,11667,6,1,1,0,2
0,0.2125,58,0,0.519,3290,10,0,1,0,1
0,0.007,52,0,0.0033,2439,4,0,0,0,0
0,0.0733,51,0,0.4467,10250,9,0,1,0,2
0,0.4319,63,0,0.4191,8208,22,1,2,0,0
0,0.0269,41,0,0.6867,4583,8,0,3,0,0
0,0.2971,43,1,0.6038,3666,9,0,1,0,2
0,0.9227,40,0,0.2078,9345,7,0,0,0,0
0,0.0511,74,0,0.3064,3416,9,0,1,0,0
0,0.3192,49,0,0.3582,9400,18,0,2,0,0
0,0.0087,68,0,0.21,6000,28,0,1,0,0
0,0,57,0,0.7852,6783,8,0,3,0,0
0,0.2437,48,0,0.18,8900,10,0,1,0,6
0,1,40,1,0.1917,3833,3,2,0,0,2
0,0,23,0,0,3500,1,0,0,0,1
0,0.0289,52,0,0.0135,5389,7,0,0,0,2
0,0.5033,55,0,0.4541,3166,5,0,2,0,0
0,0.8,61,3,0.6711,5064,19,0,3,1,0
0,0.07,33,0,0.114,3762,7,0,0,0,0
0,0.0679,69,0,0.0655,10000,5,0,1,0,0
0,0.7406,39,0,0.432,5566,7,0,1,0,0
0,0.0234,84,0,0.0091,4600,6,0,0,0,0
0,1,32,2,0.0956,2060,1,0,0,0,0
0,0.0923,61,0,0.2294,7500,23,0,2,0,2
0,0,37,0,0.177,7236,5,0,1,0,3
0,1,33,1,0.2577,5416,2,2,1,0,1
0,0.0579,81,0,0.1457,3939,13,0,0,0,0
0,0.0781,60,0,0.5661,3917,14,0,1,0,2
0,0.2019,46,0,0.3945,10000,15,0,2,0,3
0,0.078,57,0,0.0535,6500,19,0,0,0,0
0,0.2057,57,0,0.1303,8333,8,0,1,0,0
1,1,32,0,0.0067,3416,1,0,0,0,3
1,0.5799,42,0,0.5942,2700,8,0,0,0,0
0,0.0734,38,1,0.3848,10000,9,0,2,0,0
0,0.0792,82,0,0.177,5000,3,0,1,0,0
0,0.0731,33,0,0.2164,5290,9,0,0,0,0
0,0.7452,68,0,0.1688,4917,4,0,1,0,0
0,0.1009,52,1,0.2805,5500,6,1,1,0,2
0,0.3477,46,0,0.0416,2500,1,0,0,0,1
0,0.3541,57,0,0.5588,4330,4,0,1,0,0
0,0.0296,50,0,0.3991,9400,15,3,4,0,0
0,0.5402,34,0,0.0344,7500,3,1,0,0,0
0,0.6409,53,4,0.5241,11266,17,0,2,0,3
0,0.0583,76,0,0.3743,4311,7,0,1,0,0
0,0.7193,64,0,0.1862,6228,5,0,1,0,0
0,0.045,72,0,0.0208,3900,8,0,0,0,0
0,0.3559,48,0,0.4781,7667,17,0,2,0,0
0,0.5776,71,1,0.4925,6399,14,0,2,0,1
0,0.3206,53,0,0.1115,5600,14,0,1,0,1
0,0.1734,51,1,0.0863,5250,11,0,0,0,0
0,0.4018,55,0,0.4128,2550,11,0,0,0,0
0,0.3012,46,0,0.2547,7668,10,0,1,0,3
0,0,27,2,0.2291,2264,5,2,0,1,0
0,0.0675,43,0,0.4472,9115,4,0,2,0,0
0,0,75,0,0.206,1640,4,0,0,0,1
0,0.9933,31,0,0.0682,4484,6,0,0,0,1
0,0.1388,43,0,0.3841,11666,9,0,5,0,0
0,0.1936,51,0,0.5328,3800,13,0,2,0,0
0,0.0011,28,1,0.058,6000,8,1,0,0,0
0,0.4856,51,0,0.0996,6583,5,0,0,0,0
0,0.9795,55,1,0.4679,7433,11,0,2,2,0
0,0.0906,69,0,0.0167,4015,2,0,0,0,0
0,0.3848,42,0,0.5331,7416,5,0,1,0,3
0,0.1837,33,0,0.6605,2497,9,0,1,0,0
0,0.0181,60,0,0.0232,1250,4,0,0,0,1
1,1,54,0,0.2284,2372,2,0,0,1,0
0,0.2903,48,0,0.2628,7996,7,0,1,0,3
0,0.0522,49,0,0.0676,6993,5,0,0,0,1
0,1,73,0,0.85,0,2,0,0,0,0
0,0.4127,66,1,0.1951,4100,7,1,0,0,0
0,0.0912,49,1,0.5689,5000,15,0,2,0,0
0,0.5002,46,0,0.278,4700,10,0,1,0,1
1,0.9131,37,2,0.162,4000,16,0,3,0,1
0,0.6114,22,0,0.3471,800,4,0,0,0,0
0,0.0656,31,0,0.1626,5250,10,0,0,0,0
0,0.4997,39,0,0.4502,3200,8,0,1,0,0
0,0.2895,44,0,0.4826,8916,17,0,2,0,1
1,0.8142,50,1,0.2971,3600,8,0,1,1,1
0,0.0164,55,0,0.0018,5599,3,0,0,0,2
0,0.0785,52,0,0.2073,8220,5,0,1,0,3
0,0.0297,58,2,0.2872,6204,19,0,1,0,0
0,0.0126,62,0,0.0448,7416,5,0,0,0,0
0,0.0621,42,0,0.2303,8333,6,0,1,0,4
0,0.5519,42,1,0.7906,3600,18,0,2,0,1
1,0.6401,39,0,0.056,9841,9,0,0,0,2
0,0.5818,45,0,0.7248,8000,11,0,2,0,0
0,0.3121,55,1,0.1271,1266,5,0,0,0,0
0,0.2664,58,0,0.4985,12900,12,0,1,0,2
0,0.0402,35,0,0.3008,5600,8,0,2,0,1
1,0.9555,52,1,0.5249,10480,11,0,3,0,1
0,0.0866,40,0,0.887,0,8,0,1,0,1
0,0.9544,45,2,0.4842,8836,10,0,1,0,1
0,0.1883,27,0,0.8818,3900,6,0,1,0,1
0,0.014,37,0,0.6744,6120,9,0,1,0,0
0,0.3296,36,0,0.4377,3597,16,0,2,0,2
0,0.4841,40,0,0.4233,10794,9,0,2,0,2
0,0.0848,59,0,0.5342,3612,9,0,2,0,0
0,1,40,0,0.6062,7200,6,0,3,0,0
0,0.1523,49,0,0.0308,9000,3,0,0,0,0
0,0.2129,66,0,0.3519,5100,10,0,1,0,0
0,1,63,3,0.2008,5217,5,0,1,1,4
0,0,30,0,0,4700,1,0,0,0,1
0,0.5763,36,0,0.7854,3000,10,0,1,0,1
0,0,27,0,0,4500,5,0,0,0,0
0,0.1068,44,3,0.7474,6000,8,0,3,0,2
0,0.2774,59,0,0.3886,3620,8,0,1,0,1
0,0.2853,38,0,0.0895,3250,4,0,0,0,3
0,0.1621,38,0,0.0249,70000,6,0,1,0,2
0,0.6225,43,0,0.3539,10234,8,0,1,0,0
0,0,75,0,0.5274,801,4,0,1,0,0
0,0.7327,29,0,0.3385,8400,10,0,1,0,0
0,0.4867,55,0,0.3247,9000,10,0,2,0,0
0,0.5848,60,0,0.2936,6003,11,0,1,0,0
0,0.8754,37,0,0.4377,1436,5,0,0,0,1
0,0.0439,69,0,0.0641,6908,7,0,1,0,0
0,0.0393,48,0,0.4804,7420,10,0,2,0,0
1,0.3395,89,1,0.5494,2500,9,3,0,1,0
0,0.0648,56,2,0.1976,8166,10,0,1,0,0
0,0.0087,75,0,0.0013,8289,5,0,0,0,0
0,1,55,1,0.1387,4144,1,0,0,0,0
